Datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day_of_week,month,is_weekend,CO(GT)_lag_1,CO(GT)_lag_2,CO(GT)_lag_3,PT08.S1(CO)_lag_1,PT08.S1(CO)_lag_2,PT08.S1(CO)_lag_3,T_lag_1,T_lag_2,T_lag_3,RH_lag_1,RH_lag_2,RH_lag_3,CO(GT)_rolling_mean_6,PT08.S1(CO)_rolling_mean_6,T_rolling_mean_6,RH_rolling_mean_6
2004-11-03 00:00:00,1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0,2,11,0,1.2,1.6,2.2,1197.0,1272.0,1376.0,11.2,11.2,11.0,59.2,59.6,60.0,1.9666666666666668,1316.5,12.033333333333333,54.9
2004-11-03 01:00:00,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1,2,11,0,1.2,1.2,1.6,1185.0,1197.0,1272.0,11.3,11.2,11.2,56.8,59.2,59.6,1.7333333333333334,1287.3333333333333,11.65,56.21666666666667
2004-11-03 02:00:00,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2,2,11,0,1.0,1.2,1.2,1136.0,1185.0,1197.0,10.7,11.3,11.2,60.0,56.8,59.2,1.5666666666666667,1261.3333333333333,11.216666666666667,58.26666666666666
2004-11-03 03:00:00,0.6,1010.0,19.0,1.7,561.0,33.0,1705.0,47.0,1235.0,501.0,10.3,60.2,0.7517,3,2,11,0,0.9,1.0,1.2,1094.0,1136.0,1185.0,10.7,10.7,11.3,59.7,60.0,56.8,1.3499999999999999,1210.0,11.016666666666666,59.21666666666666
2004-11-03 04:00:00,0.6499999999999999,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,4,2,11,0,0.6,0.9,1.0,1010.0,1094.0,1136.0,10.3,10.7,10.7,60.2,59.7,60.0,1.0833333333333333,1149.0,10.899999999999999,59.25
2004-11-03 05:00:00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,5,2,11,0,0.6499999999999999,0.6,0.9,1011.0,1010.0,1094.0,10.1,10.3,10.7,60.5,60.2,59.7,0.9249999999999999,1105.5,10.716666666666667,59.400000000000006
2004-11-03 06:00:00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,6,2,11,0,0.7,0.6499999999999999,0.6,1066.0,1011.0,1010.0,11.0,10.1,10.3,56.2,60.5,60.2,0.8416666666666667,1083.6666666666667,10.683333333333332,58.900000000000006
2004-11-03 07:00:00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,7,2,11,0,0.7,0.7,0.6499999999999999,1052.0,1066.0,1011.0,10.5,11.0,10.1,58.1,56.2,60.5,0.7583333333333333,1061.5,10.549999999999999,59.116666666666674
2004-11-03 08:00:00,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,8,2,11,0,1.1,0.7,0.7,1144.0,1052.0,1066.0,10.2,10.5,11.0,59.6,58.1,56.2,0.775,1062.8333333333333,10.466666666666667,59.050000000000004
2004-11-03 09:00:00,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,9,2,11,0,2.0,1.1,0.7,1333.0,1144.0,1052.0,10.8,10.2,10.5,57.4,59.6,58.1,0.9583333333333334,1102.6666666666667,10.483333333333333,58.66666666666668
2004-11-03 10:00:00,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,10,2,11,0,2.2,2.0,1.1,1351.0,1333.0,1144.0,10.5,10.8,10.2,60.6,57.4,59.6,1.225,1159.5,10.516666666666666,58.73333333333333
